items_address,items_city,items_lat,items_lng,items_state,items_title,items_zip,items_dist,items_traveltime
"Chakkarbardi, Malegaon Road,  ,  424001 Dhule,, Maharashtra, India","Dhule,",20.863954999999997,74.76015500000001,Maharashtra,"Shree Bhausaheb Hire Govt Medical College, Dhule", 424001,0,0
"NH 16 Service Rd, beside Dr NTR University of Health Sciences, 520008 Vijayawada, Andhra Pradesh, India",Vijayawada,16.517401,80.67130300000001,Andhra Pradesh,"Sidhartha Medical College, Vijayawada",520008,0,0
"Ghungoor Road, beside Indian Post, Masimpur, 788014 Uttar Krishnapur Pt III, Assam, India",Uttar Krishnapur Pt III,24.775801,92.794914,Assam,"Silchar Medical College, Silchar",788014,0,0
"Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, 110060 New Delhi, Delhi , India",New Delhi,28.638810999999997,77.190071,Delhi ,"Sir ganga ram hospital clinical laboratory services, New Delhi",110060,0,0
"MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale, 400701  Navi Mumbai, Maharashtra, India",Navi Mumbai,19.139215,73.002266,Maharashtra,"Sir H.N. Reliance Foundation Hospital and Research Center, Mumbai",400701 ,0,0
"CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, 500016 Hyderabad, Telangana , India",Hyderabad,17.445538,78.47224399999999,Telangana ,"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad",500016,0,0
"Sungava, 737101 Gangtok, Sikkim, India",Gangtok,27.346515999999998,88.603371,Sikkim,"Sir Thutob Namgyal Memorial (STNM), Gangtok",737101,0,0
"Jai Nagar W Rd, Chalakkuzhi, 695011 Thiruvananthapuram, Kerela, India",Thiruvananthapuram,8.521672,76.924194,Kerela,"Sree Chitra Tirunal Institute for Medical Sciences & Technology, Thiruvananthapuram",695011,0,0
"No.1 Ramachandra Nagar Porur, 600116 Chennai, Tamil Nadu, India",Chennai,13.023108,80.111176,Tamil Nadu,"SRI RAMACHANDRA LABORATORY SERVICES, Chennai",600116,0,0
"Alipiri Rd, Sri Padmavati Mahila Visvavidyalayam, Tirupati, 517507 Tirupati, Andhra Pradesh, India",Tirupati,13.640438,79.40374,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences, Tirupati",517507,0,0
"Prime Square building, Gaiwadi Industrial, estate,, 400062 Mumbai, Maharashtra, India",Mumbai,19.171404000000003,72.843422,Maharashtra,"SRL Diagnostics, Goregaon West",400062,0,0
"GP 26 Sector 18,, 122015  gurgaon, Haryana, India", gurgaon,28.489103000000004,77.059502,Haryana,SRL Limited,122015,0,0
"No. 1, Old Jail Rd, Old Washermanpet, 600001 Chennai, Tamil Nadu, India",Chennai,13.106272,80.286674,Tamil Nadu,"Stanley Medical College, Chennai",600001,0,0
"Red Cross Road, Near, General Hospital Rd, Rishimangalam, Pattoor, , 695024 Thiruvananthapuram, , Kerala , India","Thiruvananthapuram, ",8.498161,76.939453,Kerala ,"State Public Health Laboratory, Trivandrum",695024,0,0
" A-17, Info Technology Park, Sector 34,, 122001 Gurugram, Haryana, India",Gurugram,28.426413,77.019768,Haryana,"Strand Life Sciences, Gurugram",122001,0,0
"2nd Floor Aston, Shastri Nagar, 400053  Andheri (W), Mumbai, Maharashtra, India"," Andheri (W), Mumbai",19.137468,72.823578,Maharashtra,SUBURBAN DIAGNOSTICS (INDIA) PVT. LTD,400053,0,0
"Kedar Builiding, Opp. Krupa petrol Pump, 380006 Ahmedabad, Gujarat, India",Ahmedabad,23.019835,72.557091,Gujarat,"Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Ahmedabad",380006,0,0
"Dr Ernest Borges Road, Parel, 400012 Mumbai, Maharashtra, India",Mumbai,19.004614,72.84303299999999,Maharashtra,"Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Mumbai",400012,0,0
"9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, 500003 Secunderabad, Telangana, ",Secunderabad,17.442057000000002,78.497147,Telangana,"The Department of Laboratory Medicine, Yashoda Hospital",500003,0,0
"D-37/1 MIDC Turbhe, 400703 Navi Mumbai, Maharashtra, India",Navi Mumbai,19.067995,73.00389100000001,Maharashtra,Thyrocare Technologies Limited,400703,0,0
"Old Assembly Complex, 791110 Naharlagun, Arunachal Pradesh , India",Naharlagun,27.103871999999996,93.691101,Arunachal Pradesh ,"Tomo Riba Institute Health and Medical Sciences (TRIHMS), Naharlagun",791110,0,0
"102, 1st Floor, Sanoma Plaza, Sheth Mangald Road, 380006 Ahmedabad, Gujarat, India",Ahmedabad,22.113466,71.736961,Gujarat,"Unipath Speciality Laboratory Limited, Ahmedabad",380006,0,0
"Off, Kurawali - Mainpuri - Etawah Rd,  206130 Saifai, Uttar Pradesh, India",Saifai,26.960838,78.95839699999999,Uttar Pradesh,"Uttar Pradesh University of Medical Sciences, Saifai, Etawah", 206130,0,0
"Opp. District Court, 413003 Solapur, Maharashtra, India",Solapur,17.665312,75.909637,Maharashtra,"V. M. Govt. Medical College, Solapur.",413003,0,0
"3-6-16 & 17, Street No.19, 500029 Hyderabad, Telangana, India",Hyderabad,17.404165,78.477684,Telangana,"Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad",500029,0,0
" Plot No. 142, Phase 2, IDA Cherlapally, 500051 Hyderabad, Telangana, India",Hyderabad,17.470873,78.600082,Telangana,"Vimta Labs Ltd., Hyderabad,",500051,0,0
"SH 49A, Pallipattu, Tharamani, 600113 Chennai, Tamil Nadu, India",Chennai,13.002532,80.246841,Tamil Nadu,"Y. R. Gaitonde Centre for AIDS Research and Education (YRG Care), Chennai",600113,0,0
