items_address,items_city,items_lat,items_lng,items_state,items_title,items_zip,items_dist,items_traveltime
"Ridge Sanjauli Rd, Lakkar Bazar, , 171001 Shimla, , Himachal Pradesh , India","Shimla, ",31.106512,77.18225100000001,Himachal Pradesh ,"Indira Gandhi Medical College, Shimla",171001,0,0
"Road Number 23, Wagle Industrial Estate, 400604 Thane, Maharashtra, India",Thane,19.195042,72.946365,Maharashtra,"InfeXn Laboratories Private Ltd, Thane",400604,0,0
" D1 ILBS Road, Vasant Kunj,, 110070 New Delhi, Delhi, India",New Delhi,28.506643,77.163948,Delhi,"Institute of Liver and Biliary Sciences, New Delhi",110070,0,0
"Aurobindo Colony, Banaras Hindu University Campus, ,  221005 Varanasi,, Uttar Pradesh, India","Varanasi,",25.274498,82.999542,Uttar Pradesh,Institute of Medical Sciences BHU, 221005,0,0
"244, Acharya Jagadish Chandra Bose Rd, Bhowanipore, 700020  Kolkata,  West Bengal , India", Kolkata,22.53969,88.34221600000001, West Bengal ,"Institute of Post Graduate Medical Education & Research (IPGMER), Kolkata",700020,0,0
"Narayanaguda, 500029 Hyderabad, Telangana, India",Hyderabad,17.394382,78.49205,Telangana,"Institute Of Preventive Medicine, Hyderabad",500029,0,0
"Thalappady, , 686019 Thalappady, , Kerala , India","Thalappady, ",9.57547,76.578987,Kerala ,"Interuniversity, kottayam",686019,0,0
"Jipmer Campus Rd, Gorimedu, Dhanvantari Nagar, ,  605006 Puducherry,, Puducherry,, India","Puducherry,",11.950302,79.797508,"Puducherry,","Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry", 605006,0,0
"Porompat, , 795004 Imphal, ,  Manipur, India","Imphal, ",24.809977,93.96096, Manipur,"Jawaharlal Nehru Institute of Medical Sciences, Imphal-East, Manipur",795004,0,0
"Medical Rd, AMU Campus, 202002 Aligarh, Uttar Pradesh , India",Aligarh,27.916860999999997,78.087112,Uttar Pradesh ,"Jawaharlal Nehru Medical College, Aligarh",202002,0,0
"N.H.-12, Kota Rd, Jhalawar, , 326001 Jhalawar,, Rajasthan , India","Jhalawar,",24.58556,76.158852,Rajasthan ,"Jhalawar Medical College, Jhalawar, Rajasthan",326001,0,0
" Kala Bagh, 305001 Ajmer, Rajasthan, India",Ajmer,26.467302,74.634148,Rajasthan,"JLN Medical College, Ajmer",305001,0,0
"Kushal Konwar Path, Barbheta, 785001 Jorhat, Assam, India",Jorhat,26.742579,94.19483199999999,Assam,"Jorhat Medical College, Jorhat",785001,0,0
" Sane Guruji Marg, Arya Nagar, Chinchpokli, 400034 Mumbai, Maharashtra, India",Mumbai,18.984041,72.827652,Maharashtra,"Kasturba Hospital for Infectious Diseases, Mumbai",400034,0,0
"Shah Mina Rd, Chowk, 226003 Lucknow,  Uttar Pradesh, India",Lucknow,26.868741999999997,80.916214, Uttar Pradesh,"King George's Medical University, Lucknow",226003,0,0
"Guindy, 600032 Chennai, Tamil Nadu, India",Chennai,13.012446,80.215416,Tamil Nadu,"King Institute of Preventive Medicine and Research, Guindy, Chennai, Tamil Nadu",600032,0,0
"Andheri West, 400053 Mumbai, Maharashtra, India",Mumbai,19.13126,72.822868,Maharashtra,"Kokilaben Dhirubhai Ambani Hospital Laboratory, Mumbai",400053,0,0
"Steel Plant Road Sarkar Kollappatty, 636030 Salem, Tamil Nadu, India",Salem,11.671602,78.06534599999999,Tamil Nadu,"Kumar Mangalam Government Medical College, Salem",636030,0,0
"Health street Building, Jubilee Hills, 500096 Hyderabad, Telangana, India",Hyderabad,17.414244,78.410278,Telangana,"Laboratory Services Apollo Hospitals, Hyderabad",500096,0,0
"Sarita Vihar, 110076 New Delhi, Delhi, India",New Delhi,28.540602000000003,77.281235,Delhi,"Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi",110076,0,0
"Connaught Place, 110001 New Delhi, Delhi , India",New Delhi,28.633987,77.21257800000001,Delhi ,"Lady Hardinge Medical College, New Delhi",110001,0,0
" Garh Road, Jai Bhim Nagar, 250002 Meerut, Uttar Pradesh, India",Meerut,28.960010999999998,77.748032,Uttar Pradesh,"Lala Lajpat Rai Memorial Medical College, Meerut",250002,0,0
"Dimrapal, 494001 Jagdalpur, Chhattisgarh , India",Jagdalpur,19.050722,81.948189,Chhattisgarh ,"Late Baliram Kashyap M Govt. Medical College, Jagdalpur",494001,0,0
"Pandit Nehru Marg, Indradeep Society, 361008 Jamnagar, Gujarat , India",Jamnagar,22.477367,70.06523100000001,Gujarat ,"M.P. Shah Govt Medical College, Jamnagar",361008,0,0
"Near Park Town Station, Park Town, 600003 Chennai, Tamil Nadu, India",Chennai,13.079977,80.270096,Tamil Nadu,"Madras Medical College, Chennai, Tamil Nadu",600003,0,0
"Medical College Rd, Alwarpuram, 625020 Madurai, Tamil Nadu, India",Madurai,9.928428,78.134979,Tamil Nadu,"Madurai Medical College, Madurai",625020,0,0
"Kodiyeri, Muzhikkara - MCC Rd, 670103 Thalassery, Kerala, India",Thalassery,11.749464999999999,75.523911,Kerala,"Malabar Cancer Centre, Thalassery",670103,0,0
"1, Press Enclave Road, Saket, 110017 New Delhi, Delhi, India",New Delhi,28.527642999999998,77.2099,Delhi,"Max lab, Max Super Speciality Hospita, Saket, New Delhi",110017,0,0
"Plot 16 & 17, Swathi  Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, 500011 Hyderabad, Telangana, India",Hyderabad,17.458767,78.478363,Telangana,"Medcis Pathlabs India Pvt.Ltd., Secunderabad",500011,0,0
"4th Floor, Commerical Building 1-A, Kohinoor City Mall, Vidyavihar (West), 400070 Mumbai, Maharashtra, India",Mumbai,19.082016,72.88353000000001,Maharashtra,Metropolis Healthcare Ltd,400070,0,0
"A.B.Road, Indore,, 452001  Indore,  Madhya Pradesh , India", Indore,22.714333,75.88069200000001, Madhya Pradesh ,"MGM Medical College, Indore",452001,0,0
"Dimna Rd, Hill View Colony, Mango, , 831020 Jamshedpur, , Jharkhand , India","Jamshedpur, ",22.843639000000003,86.232399,Jharkhand ,"MGM Medical College, Jamshedpur ",831020,0,0
"kings colony, united nagar, veerakeralam road, vadavalli, 641041 Coimbatore, Tamil Nadu, India",Coimbatore,11.014438,76.909927,Tamil Nadu,"Microbiological Laboratory, Coimbatore",641041,0,0
"Vidyasagar Rd, 721101  Midnapore, West Bengal, ", Midnapore,22.421703,87.323135,West Bengal,"Midnapore Medical College, Midnapore",721101,0,0
"Mini Bypass Rd, Govindapuram, 673016 Kozhikode, Kerala , India",Kozhikode,11.245797,75.79866,Kerala ,"MIMS Laboratory Services, Kozhikode",673016,0,0
"363-364/4, Jawahar Nagar, New Railway Road, 122001 Gurugram, Haryana, India",Gurugram,28.466013,77.02478,Haryana,"Modern Diagnostic & research Centre Laboratory, Gurugram",122001,0,0
"Plot 28-29, Electronic City, Sector 18, 122001 Gurugram, Haryana , India",Gurugram,28.500405999999998,77.072037,Haryana ,"Molq Lab (A Unit of Molecular Quest Healthcare Private Limited), Gurugram",122001,0,0
"Irwin Road, next to Railway Staion, , 570001 Mysuru, , Karnataka , India","Mysuru, ",12.314513999999999,76.646339,Karnataka ,"Mysore Medical College & Research Institute, Mysore",570001,0,0
" 22, Sham Nath Marg, Civil Lines, 110054 New Delhi, Delhi, India",New Delhi,28.679474,77.22139,Delhi,"National Centre for Disease Control, New Delhi",110054,0,0
"Nagpur Road, near NSCB Medical Collage, Dhanvantri Nagar, Shastri Nagar,, 482003 Jabalpur, Madhya Pradesh, India",Jabalpur,23.147329,79.878586,Madhya Pradesh,"National Institute for Research in Tribal Health, Jabalpur",482003,0,0
"GB 4, 1st Floor, ID & BG Hospital Campus, 57, Dr SC Banerjee Rd ,  700010 Kolkata, West Bengal , India",Kolkata,22.564617000000002,88.400352,West Bengal ,"National Institute of Cholera & Enteric Diseases (NICED), Kolkata", 700010,0,0
"Vandanam, , 688005 Allapuzzha, Kerala , India",Allapuzzha,9.418581,76.34320100000001,Kerala ,"National Institute of Virology Field Unit, Allapuzzha",688005,0,0
"Haffkine Institute Compound, A D Marg, Parel , 4000012 Mumbai, Maharashtra, India",Mumbai,19.002056,72.841553,Maharashtra,"National Institute of Virology Field Unit, Mumbai",4000012,0,0
"1st Block, Jayanagar, 560011 Bengaluru, Karnataka, India",Bengaluru,12.937333,77.588646,Karnataka,"National Institute of Virology, Field Unit, Bengaluru",560011,0,0
