"items_address","items_catid","items_city","items_country","items_cutDescription","items_date","items_description","items_id","items_lat","items_lng","items_multimedia","items_readmore","items_state","items_street","items_title","items_zip"
" Garh Road, Jai Bhim Nagar, 250002 Meerut, Uttar Pradesh, India","15","Meerut","India","Garh Road, Jai Bhim Nagar, Meerut, Uttar Pradesh 250002","2020-03-23 12:19:25","Garh Road, Jai Bhim Nagar, Meerut, Uttar Pradesh 250002","142","28.960011","77.748032","","/index.php/testing-facilities/15-government-laboratories/142-lala-lajpat-rai-memorial-medical-college-meerut","Uttar Pradesh"," Garh Road, Jai Bhim Nagar","Lala Lajpat Rai Memorial Medical College, Meerut","250002"
"Dimrapal, 494001 Jagdalpur, Chhattisgarh , India","15","Jagdalpur","India","Dimrapal, Jagdalpur, Chhattisgarh 494001","2020-03-22 20:23:06","Dimrapal, Jagdalpur, Chhattisgarh 494001","30","19.050722","81.948189","","/index.php/testing-facilities/15-government-laboratories/30-late-baliram-kashyap-m-govt-medical-college-jagdalpur","Chhattisgarh ","Dimrapal","Late Baliram Kashyap M Govt. Medical College, Jagdalpur","494001"
"Pandit Nehru Marg, Indradeep Society, 361008 Jamnagar, Gujarat , India","15","Jamnagar","India","Pandit Nehru Marg, Indradeep Society, Jamnagar, Gujarat 361008","2020-03-22 20:55:21","Pandit Nehru Marg, Indradeep Society, Jamnagar, Gujarat 361008","41","22.477367","70.065231","","/index.php/testing-facilities/15-government-laboratories/41-m-p-shah-govt-medical-college-jamnagar","Gujarat ","Pandit Nehru Marg, Indradeep Society","M.P. Shah Govt Medical College, Jamnagar","361008"
"Near Park Town Station, Park Town, 600003 Chennai, Tamil Nadu, India","15","Chennai","India","Madras Medical College, <span class=""section-info-text""><span class=""widget-pane-link"">Near Park Town Station, Park Town, Chennai, Tamil Nadu 600003</span></span>","2020-03-23 05:57:52","Madras Medical College, <span class=""section-info-text""><span class=""widget-pane-link"">Near Park Town Station, Park Town, Chennai, Tamil Nadu 600003</span></span>","96","13.079977","80.270096","","/index.php/testing-facilities/15-government-laboratories/96-madras-medical-college-chennai-tamil-nadu","Tamil Nadu","Near Park Town Station, Park Town","Madras Medical College, Chennai, Tamil Nadu","600003"
"Medical College Rd, Alwarpuram, 625020 Madurai, Tamil Nadu, India","15","Madurai","India","<span class=""section-info-text""><span class=""widget-pane-link"">Medical College, Medical College Rd, Alwarpuram, Madurai, Tamil Nadu 625020</span></span>","2020-03-23 05:37:56","<span class=""section-info-text""><span class=""widget-pane-link"">Medical College, Medical College Rd, Alwarpuram, Madurai, Tamil Nadu 625020</span></span>","87","9.928428","78.134979","","/index.php/testing-facilities/15-government-laboratories/87-madurai-medical-college-madurai","Tamil Nadu","Medical College Rd, Alwarpuram","Madurai Medical College, Madurai","625020"
"Kodiyeri, Muzhikkara - MCC Rd, 670103 Thalassery, Kerala, India","15","Thalassery","India","Kodiyeri, Muzhikkara - MCC Rd, Illathaazha, Thalassery, Kerala 670103","2020-03-27 06:03:24","Kodiyeri, Muzhikkara - MCC Rd, Illathaazha, Thalassery, Kerala 670103","179","11.749465","75.523911","","/index.php/testing-facilities/15-government-laboratories/179-malabar-cancer-centre-thalassery","Kerala","Kodiyeri, Muzhikkara - MCC Rd","Malabar Cancer Centre, Thalassery","670103"
"1, Press Enclave Road, Saket, 110017 New Delhi, Delhi, India","16","New Delhi","India","Max lab, Max Super Speciality Hospital, 1, Press Enclave Road, Saket New Delhi 110017","2020-03-24 09:54:54","Max lab, Max Super Speciality Hospital, 1, Press Enclave Road, Saket New Delhi 110017","156","28.527643","77.2099","","/index.php/testing-facilities/16-private-laboratories/156-max-lab-max-super-speciality-hospita-saket-new-delhi","Delhi","1, Press Enclave Road, Saket","Max lab, Max Super Speciality Hospita, Saket, New Delhi","110017"
"Plot 16 & 17, Swathi  Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, 500011 Hyderabad, Telangana, India","16","Hyderabad","India","Plot 16 & 17, Swathi Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens,...","2020-03-28 08:04:06","Plot 16 & 17, Swathi Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, Hyderabad, Telangana 500011","191","17.458767","78.478363","","/index.php/testing-facilities/16-private-laboratories/191-medcis-pathlabs-india-pvt-ltd-secunderabad","Telangana","Plot 16 & 17, Swathi  Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens","Medcis Pathlabs India Pvt.Ltd., Secunderabad","500011"
"4th Floor, Commerical Building 1-A, Kohinoor City Mall, Vidyavihar (West), 400070 Mumbai, Maharashtra, India","16","Mumbai","India","Metropolis Healthcare Ltd, <span class=""section-info-text""><span class=""widget-pane-link"">4th Floor, Commerical Building 1-A, Kohinoor City Mall, Off LBS Marg,</span></span>...","2020-03-23 07:53:32","Metropolis Healthcare Ltd, <span class=""section-info-text""><span class=""widget-pane-link"">4th Floor, Commerical Building 1-A, Kohinoor City Mall, Off LBS Marg, Vidyavihar (West), Mumbai, Maharashtra 400070</span></span>","113","19.082016","72.88353","","/index.php/testing-facilities/16-private-laboratories/113-metropolis-healthcare-ltd","Maharashtra","4th Floor, Commerical Building 1-A, Kohinoor City Mall, Vidyavihar (West)","Metropolis Healthcare Ltd","400070"
"A.B.Road, Indore,, 452001  Indore,  Madhya Pradesh , India","15"," Indore","India","MGM Medical College, Indore, Madhya Pradesh","2020-03-23 03:56:14","MGM Medical College, Indore, Madhya Pradesh","67","22.714333","75.880692","","/index.php/testing-facilities/15-government-laboratories/67-mgm-medical-college-indore"," Madhya Pradesh ","A.B.Road, Indore,","MGM Medical College, Indore","452001"
"Dimna Rd, Hill View Colony, Mango, , 831020 Jamshedpur, , Jharkhand , India","15","Jamshedpur, ","India","Dimna Rd, Hill View Colony, Mango, Jamshedpur, Jharkhand 831020","2020-03-22 22:12:34","Dimna Rd, Hill View Colony, Mango, Jamshedpur, Jharkhand 831020","55","22.843639","86.232399","","/index.php/testing-facilities/15-government-laboratories/55-mgm-medical-college-jamshedpur","Jharkhand ","Dimna Rd, Hill View Colony, Mango, ","MGM Medical College, Jamshedpur ","831020"
"kings colony, united nagar, veerakeralam road, vadavalli, 641041 Coimbatore, Tamil Nadu, India","16","Coimbatore","India","Microbiological laboratory, no-02, kings colony, united nagar, veerakeralam road, vadavalli,...","2020-03-30 15:15:50","Microbiological laboratory, no-02, kings colony, united nagar, veerakeralam road, vadavalli, Coimbatore, Tamil Nadu, India","211","11.014438","76.909927","","/index.php/testing-facilities/16-private-laboratories/211-microbiological-laboratory-coimbatore","Tamil Nadu","kings colony, united nagar, veerakeralam road, vadavalli","Microbiological Laboratory, Coimbatore","641041"
"Vidyasagar Rd, 721101  Midnapore, West Bengal, ","15"," Midnapore","","Vidyasagar Road , Paschim Medinipur, Midnapore, West Bengal, 721 101","2020-03-22 20:04:48","Vidyasagar Road , Paschim Medinipur, Midnapore, West Bengal, 721 101","25","22.421703","87.323135","","/index.php/testing-facilities/15-government-laboratories/25-midnapore-medical-college-midnapore","West Bengal","Vidyasagar Rd","Midnapore Medical College, Midnapore","721101"
