"items_address","items_catid","items_city","items_country","items_cutDescription","items_date","items_description","items_id","items_lat","items_lng","items_multimedia","items_readmore","items_state","items_street","items_title","items_zip"
"Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), 501301 Greater Hyderabad, Telangana , India","16","Greater Hyderabad","India","Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), Greater Hyderabad,...","2020-03-27 06:26:59","Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), Greater Hyderabad, Telangana 501301","180","17.521467","78.632492","","/index.php/testing-facilities/16-private-laboratories/180-pathcare-labs-pvt-ltd-hyderabad","Telangana ","Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M)","PATHCARE Labs Pvt. Ltd., Hyderabad","501301"
"Ashok Rajpath, Patna University Campus, 80001  Patna, Bihar, India","15"," Patna","India","<h2><b>Patna Medical College, Patna</b></h2><p>Ashok Rajpath, Patna University Campus, Patna, Bihar 80001</p>","2020-03-22 19:40:04","<h2><b>Patna Medical College, Patna</b></h2><p>Ashok Rajpath, Patna University Campus, Patna, Bihar 80001</p>","17","25.620943","85.160316","","/index.php/testing-facilities/15-government-laboratories/17-patna-medical-college-patna","Bihar","Ashok Rajpath, Patna University Campus","Patna Medical College, Patna","80001"
"Madhya Marg, Sector 12, 160012 Chandigarh, Chandigarh, India","15","Chandigarh","India","Post Graduate Institute of Medical Education & Research, Chandigarh, Madhya Marg, Sector 12,...","2020-03-22 20:03:32","Post Graduate Institute of Medical Education & Research, Chandigarh, Madhya Marg, Sector 12, Chandigarh, 160012","24","30.764416","76.775047","","/index.php/testing-facilities/15-government-laboratories/24-post-graduate-institute-of-medical-education-research-chandigarh","Chandigarh","Madhya Marg, Sector 12","Post Graduate Institute  of Medical Education  & Research, Chandigarh","160012"
"515-516, Sector-19, Dwarka, 110075 New Delhi, Delhi, India","16","New Delhi","India","515-516, behind Gupta Properties, Close to Welcome Hotel (ITC, Sector 19, Pocket 1, Dwarka, New...","2020-03-27 08:14:43","515-516, behind Gupta Properties, Close to Welcome Hotel (ITC, Sector 19, Pocket 1, Dwarka, New Delhi, Delhi 110075","186","28.580231","77.051018","","/index.php/testing-facilities/16-private-laboratories/186-prognosis-laboratories-new-delhi","Delhi","515-516, Sector-19, Dwarka","Prognosis Laboratories, New Delhi","110075"
"Sadikpur, 800007 Patna, Bihar, India","15","Patna","India","Sadikpur, Patna, Bihar 800007","2020-03-22 19:58:14","Sadikpur, Patna, Bihar 800007","21","25.599751","85.197723","","/index.php/testing-facilities/15-government-laboratories/21-rajendra-memorial-research-institute-of-medical-sciences-patna","Bihar","Sadikpur","Rajendra  Memorial  Research  Institute  of  Medical  Sciences, Patna","800007"
"Rims Cir, Indraprasth Colony, Bariatu, , 834009 Ranchi, , Jharkhand , India","15","Ranchi, ","India","Rims Cir, Indraprasth Colony, Bariatu, Ranchi, Jharkhand 834009","2020-03-22 22:09:32","Rims Cir, Indraprasth Colony, Bariatu, Ranchi, Jharkhand 834009","54","23.391525","85.34845","","/index.php/testing-facilities/15-government-laboratories/54-rajendra-institute-of-medical-sciences-ranchi","Jharkhand ","Rims Cir, Indraprasth Colony, Bariatu, ","Rajendra Institute of Medical Sciences, Ranchi","834009"
"Melarannoor Road Behind Central Jail Poojapura, 695014 Thiruvananthapuram, Kerala, India","15","Thiruvananthapuram","India","Rajiv Gandhi Center for Biotechnology,, Melarannoor Road Behind Central Jail Poojapura, Thycaud,...","2020-03-23 10:17:03","Rajiv Gandhi Center for Biotechnology,, Melarannoor Road Behind Central Jail Poojapura, Thycaud, Thiruvananthapuram, Kerala 695014","132","8.49236","76.964684","","/index.php/testing-facilities/15-government-laboratories/132-rajiv-gandhi-center-for-biotechnology-thiruvananthapuram","Kerala","Melarannoor Road Behind Central Jail Poojapura","Rajiv Gandhi Center for Biotechnology, Thiruvananthapuram","695014"
"Pithampuram Road, 533001 Kakinada, Andhra Pradesh , India","15","Kakinada","India","Rangaraya Medical College, Kakinada Pithampuram Road, Kakinada, Andhra Pradesh 533001","2020-03-22 15:01:58","Rangaraya Medical College, Kakinada Pithampuram Road, Kakinada, Andhra Pradesh 533001","8","16.9792","82.237297","","/index.php/testing-facilities/15-government-laboratories/8-rangaraya-medical-college-kakinada","Andhra Pradesh ","Pithampuram Road","Rangaraya Medical College, Kakinada","533001"
"Lamphel Road, Lamphelpat,, 795004  Imphal,  Manipur , India","15"," Imphal","India","Lamphel Road, Lamphelpat, Imphal, Manipur 795004","2020-03-23 05:27:58","Lamphel Road, Lamphelpat, Imphal, Manipur 795004","81","24.815901","93.920616","","/index.php/testing-facilities/15-government-laboratories/81-regional-institute-of-medical-sciences-imphal"," Manipur ","Lamphel Road, Lamphelpat,","Regional Institute of Medical Sciences, Imphal","795004"
"Nandankanan Rd, Samanta Vihar, Gajapati Nagar,  751017  Bhubaneswar, Odisha, India","15"," Bhubaneswar","India","Nandankanan Rd, Samanta Vihar, Gajapati Nagar, Bhubaneswar, Odisha 751017","2020-03-23 05:33:27","Nandankanan Rd, Samanta Vihar, Gajapati Nagar, Bhubaneswar, Odisha 751017","84","20.31682","85.819847","","/index.php/testing-facilities/15-government-laboratories/84-regional-medical-research-centre-rmrc-bhubaneswar","Odisha","Nandankanan Rd, Samanta Vihar, Gajapati Nagar","Regional Medical Research Centre (RMRC), Bhubaneswar"," 751017"
"Bokul, Lahowal, 786001 Dibrugarh, Assam, India","15","Dibrugarh","India","Regional Medical Research Centre, Dibrugarh Bokul, Lahowal, Dibrugarh, Assam, Assam 786001","2020-03-22 17:49:08","Regional Medical Research Centre, Dibrugarh Bokul, Lahowal, Dibrugarh, Assam, Assam 786001","11","27.472786","94.982841","","/index.php/testing-facilities/15-government-laboratories/11-regional-medical-research-centre-dibrugarh","Assam","Bokul, Lahowal","Regional Medical Research Centre, Dibrugarh","786001"
"Post Bag 13, Dollygun, 744103 Port Blair, Andaman and Nicobar Islands, India","15","Port Blair","India","Post Bag 13, Dollygunj, Port Blair, Andaman and Nicobar Islands 744103","2020-03-22 10:30:34","Post Bag 13, Dollygunj, Port Blair, Andaman and Nicobar Islands 744103","3","11.634907","92.714638","","/index.php/testing-facilities/15-government-laboratories/3-regional-medical-research-centre-port-blair","Andaman and Nicobar Islands","Post Bag 13, Dollygun","Regional Medical Research Centre, Port Blair ","744103"
"A-21/A, Nirala Nagar, 226020 Lucknow, Uttar Pradesh, India","16","Lucknow","India","A-21/A, Nirala Nagar, Lucknow, Uttar Pradesh 226020","2020-03-27 05:35:03","A-21/A, Nirala Nagar, Lucknow, Uttar Pradesh 226020","176","26.875189","80.935524","","/index.php/testing-facilities/16-private-laboratories/176-rml-mehrotra-pathology-pvt-ltd-lucknow","Uttar Pradesh","A-21/A, Nirala Nagar","RML Mehrotra Pathology Pvt Ltd., Lucknow","226020"
"Court Chowk, City's Prime Health Care Area, ,  313001 Udaipur, Rajasthan, India","15","Udaipur","India","<p>RNT Medical College,<br />Udaipur</p><p>Court Chowk, City's Prime Health Care Area, Udaipur, Rajasthan 313001</p>","2020-03-23 07:04:50","<p>RNT Medical College,<br />Udaipur</p><p>Court Chowk, City's Prime Health Care Area, Udaipur, Rajasthan 313001</p>","101","24.588215","73.692795","","/index.php/testing-facilities/15-government-laboratories/101-rnt-medical-college-udaipur","Rajasthan","Court Chowk, City's Prime Health Care Area, ","RNT Medical College, Udaipur"," 313001"
"2nd Floor, President Plaza-A, Nanpura, 395001 Surat, Gujarat, India","16","Surat","India","S. N. GENELAB, 2nd Floor, President Plaza-A, Nanpura, Surat, Gujarat, India 395001","2020-03-24 08:04:25","S. N. GENELAB, 2nd Floor, President Plaza-A, Nanpura, Surat, Gujarat, India 395001","151","21.18338","72.812172","","/index.php/testing-facilities/16-private-laboratories/151-s-n-genelab-nanpura-surat","Gujarat","2nd Floor, President Plaza-A, Nanpura","S. N. GENELAB, Nanpura, Surat","395001"
"S.p.medical collage, PBM Hospital,  ,  334001 Bikaner, Rajasthan, India","15","Bikaner","India","<p>S.P. Medical College &<br />Associated Group of<br />Hospitals, Bikaner,<br />Rajasthan</p><p> </p><p> </p><p>S.p.medical collage, PBM</p>...","2020-03-23 07:08:15","<p>S.P. Medical College &<br />Associated Group of<br />Hospitals, Bikaner,<br />Rajasthan</p><p> </p><p> </p><p>S.p.medical collage, PBM Hospital, Bikaner, Rajasthan 334001</p>","103","28.00639","73.328323","","/index.php/testing-facilities/15-government-laboratories/103-s-p-medical-college-associated-group-of-hospitals-bikaner","Rajasthan","S.p.medical collage, PBM Hospital,  ","S.P. Medical College & Associated Group of Hospitals, Bikaner"," 334001"
"New PMSSY Rd, Raibareli Rd, 226014 Lucknow, Uttar Pradesh, India","15","Lucknow","India","New PMSSY Rd, Raibareli Rd, Lucknow, Uttar Pradesh 226014","2020-03-23 12:22:34","New PMSSY Rd, Raibareli Rd, Lucknow, Uttar Pradesh 226014","143","26.743549","80.943008","","/index.php/testing-facilities/15-government-laboratories/143-sanjay-gandhi-post-graduate-institute-lucknow","Uttar Pradesh","New PMSSY Rd, Raibareli Rd","Sanjay Gandhi Post Graduate Institute, Lucknow","226014"
"Jawahar Lal Nehru Marg, Gangawal Park, Adarsh Nagar, , 302004 Jaipur, Rajasthan , India","15","Jaipur","India","<p>SMS Medical College,<br />Jaipur</p><p>Jawahar Lal Nehru Marg, Gangawal Park, Adarsh Nagar, Jaipur, Rajasthan</p>...","2020-03-23 07:01:33","<p>SMS Medical College,<br />Jaipur</p><p>Jawahar Lal Nehru Marg, Gangawal Park, Adarsh Nagar, Jaipur, Rajasthan 302004</p>","98","26.905384","75.816635","","/index.php/testing-facilities/15-government-laboratories/98-sawai-man-singh-sms-medical-college-jaipur","Rajasthan ","Jawahar Lal Nehru Marg, Gangawal Park, Adarsh Nagar, ","Sawai Man Singh (SMS) Medical College, Jaipur","302004"
"SCB Medical College, PG Hostel, , 753001 Cuttack, , Odisha , India","15","Cuttack, ","India","<p>SCB Medical College,<br />Cuttack</p><p> </p><p>SCB Medical College, PG Hostel, Cuttack, Odisha 753001</p><p> </p><p> </p>","2020-03-23 05:35:26","<p>SCB Medical College,<br />Cuttack</p><p> </p><p>SCB Medical College, PG Hostel, Cuttack, Odisha 753001</p><p> </p><p> </p>","85","20.472128","85.889336","","/index.php/testing-facilities/15-government-laboratories/85-scb-medical-college-cuttack","Odisha ","SCB Medical College, PG Hostel, ","SCB Medical College, Cuttack","753001"
"108, Chittaranjan Avenue, 700 073 Kolkata, West Bengal, India","15","Kolkata","India","108, Chittaranjan Avenue, Kolkata - 700 073, West Bengal","2020-03-31 05:38:12","108, Chittaranjan Avenue, Kolkata - 700 073, West Bengal","212","22.574972","88.359772","","/index.php/testing-facilities/15-government-laboratories/212-school-of-tropical-medicine-kolkata","West Bengal","108, Chittaranjan Avenue","School of Tropical Medicine, Kolkata","700 073"
"Acharya Donde Marg, Parel,  400012 Mumbai, Maharashtra , India","15","Mumbai","India","Acharya Donde Marg, Parel, Mumbai, Maharashtra 400012","2020-03-23 05:11:34","Acharya Donde Marg, Parel, Mumbai, Maharashtra 400012","74","19.002028","72.842033","","/index.php/testing-facilities/15-government-laboratories/74-seth-gs-medical-college-kem-hospital-mumbai","Maharashtra ","Acharya Donde Marg, Parel","Seth GS Medical College & KEM Hospital, Mumbai"," 400012"
"Sagar Road, , 577201 Shivamogga,,  Karnataka , India","15","Shivamogga,","India","N.H.206, Sagara Road, Shivamogga, Karnataka 577201","2020-03-22 22:34:17","N.H.206, Sagara Road, Shivamogga, Karnataka 577201","60","13.932601","75.566864","","/index.php/testing-facilities/15-government-laboratories/60-shimoga-institute-of-medical-sciences-shivamogga"," Karnataka ","Sagar Road, ","Shimoga Institute of Medical Sciences, Shivamogga","577201"
"Chakkarbardi, Malegaon Road,  ,  424001 Dhule,, Maharashtra, India","15","Dhule,","India","None","2020-03-23 05:20:50","<h1 class=""section-hero-header-title-title GLOBAL__gm2-headline-5"" style=""background: transparent; border: 0px; font-style: inherit; font-variant: inherit; font-weight: 400; font-size: 1.375rem; line-height: 1.75rem; font-family: 'Google Sans', Roboto, 'Noto Sans Devanagari UI', 'Noto Sans Bengali UI', 'Noto Sans Telugu UI', 'Noto Sans Tamil UI', 'Noto Sans Gujarati UI', 'Noto Sans Kannada UI', 'Noto Sans Malayalam UI', 'Noto Sans Gurmukhi UI', Arial, sans-serif; list-style: none; margin: 0px; outline: 0px; overflow: visible; padding: 0px; vertical-align: baseline;"">Shree Bhausaheb Hire Govt Medical College, Dhule</h1>Chakkarbardi, Malegaon Road, Dhule, Maharashtra 424001","78","20.863955","74.760155","","/index.php/testing-facilities/15-government-laboratories/78-shree-bhausaheb-hire-govt-medical-college-dhule","Maharashtra","Chakkarbardi, Malegaon Road,  ","Shree Bhausaheb Hire Govt Medical College, Dhule"," 424001"
"NH 16 Service Rd, beside Dr NTR University of Health Sciences, 520008 Vijayawada, Andhra Pradesh, India","15","Vijayawada","India","Siddhartha Medical College, Vijayawada NH 16 Service Rd, beside Dr NTR University of Health...","2020-03-22 12:29:31","Siddhartha Medical College, Vijayawada NH 16 Service Rd, beside Dr NTR University of Health Sciences, Gunadala, Vijayawada, Andhra Pradesh 520008","5","16.517401","80.671303","","/index.php/testing-facilities/15-government-laboratories/5-sidhartha-medical-college-vijayawada","Andhra Pradesh","NH 16 Service Rd, beside Dr NTR University of Health Sciences","Sidhartha Medical College, Vijayawada","520008"
"Ghungoor Road, beside Indian Post, Masimpur, 788014 Uttar Krishnapur Pt III, Assam, India","15","Uttar Krishnapur Pt III","India","Silchar Medical College, Silchar Ghungoor Road, beside Indian Post, Masimpur, Uttar Krishnapur Pt...","2020-03-22 18:43:54","Silchar Medical College, Silchar Ghungoor Road, beside Indian Post, Masimpur, Uttar Krishnapur Pt III, Assam 788014","13","24.775801","92.794914","","/index.php/testing-facilities/15-government-laboratories/13-silchar-medical-college-silchar","Assam","Ghungoor Road, beside Indian Post, Masimpur","Silchar Medical College, Silchar","788014"
"Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, 110060 New Delhi, Delhi , India","16","New Delhi","India","Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060","2020-03-26 07:52:31","Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060","172","28.638811","77.190071","","/index.php/testing-facilities/16-private-laboratories/172-sir-ganga-ram-hospital-clinical-laboratory-services-new-delhi","Delhi ","Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar","Sir ganga ram hospital clinical laboratory services, New Delhi","110060"
"MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale, 400701  Navi Mumbai, Maharashtra, India","16","Navi Mumbai","India","Reliance Life Sciences Pvt Ltd, <span class=""LrzXr""> MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale, Navi</span>...","2020-03-23 07:42:21","Reliance Life Sciences Pvt Ltd, <span class=""LrzXr""> MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale, Navi Mumbai, Maharashtra 400701</span>","111","19.139215","73.002266","","/index.php/testing-facilities/16-private-laboratories/111-sir-h-n-reliance-foundation-hospital-and-research-center-mumbai","Maharashtra","MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale","Sir H.N. Reliance Foundation Hospital and Research Center, Mumbai","400701 "
"CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, 500016 Hyderabad, Telangana , India","15","Hyderabad","India","CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, Hyderabad, Telangana 500016","2020-03-24 20:38:24","CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, Hyderabad, Telangana 500016","163","17.445538","78.472244","","/index.php/testing-facilities/15-government-laboratories/163-sir-ronald-ross-of-tropical-communicable-diseases-hyderabad","Telangana ","CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet","Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad","500016"
"Sungava, 737101 Gangtok, Sikkim, India","17","Gangtok","India","Sungava, Gangtok, Sikkim 737101","2020-03-30 07:02:29","Sungava, Gangtok, Sikkim 737101","205","27.346516","88.603371","","/index.php/testing-facilities/17-collection-sites/205-sir-thutob-namgyal-memorial-stnm-gangtok","Sikkim","Sungava","Sir Thutob Namgyal Memorial (STNM), Gangtok","737101"
"Jai Nagar W Rd, Chalakkuzhi, 695011 Thiruvananthapuram, Kerela, India","15","Thiruvananthapuram","India","Sree Chitra Tirunal Institute for Medical Sciences & Technology, Jai Nagar W Rd, Chalakkuzhi,...","2020-03-23 10:20:21","Sree Chitra Tirunal Institute for Medical Sciences & Technology, Jai Nagar W Rd, Chalakkuzhi, Thiruvananthapuram, Kerala 695011","133","8.521672","76.924194","","/index.php/testing-facilities/15-government-laboratories/133-sree-chitra-tirunal-institute-for-medical-sciences-technology-thiruvananthapuram","Kerela","Jai Nagar W Rd, Chalakkuzhi","Sree Chitra Tirunal Institute for Medical Sciences & Technology, Thiruvananthapuram","695011"
"No.1 Ramachandra Nagar Porur, 600116 Chennai, Tamil Nadu, India","16","Chennai","India","No.1 Ramachandra Nagar Porur, Chennai - 600116 Tamil Nadu, India","2020-03-26 08:07:46","No.1 Ramachandra Nagar Porur, Chennai - 600116 Tamil Nadu, India","175","13.023108","80.111176","","/index.php/testing-facilities/16-private-laboratories/175-sri-ramachandra-laboratory-services-chennai","Tamil Nadu","No.1 Ramachandra Nagar Porur","SRI RAMACHANDRA LABORATORY SERVICES, Chennai","600116"
"Alipiri Rd, Sri Padmavati Mahila Visvavidyalayam, Tirupati, 517507 Tirupati, Andhra Pradesh, India","15","Tirupati","India","Sri Venkateswara Institute of Medical Sciences, Tirupati, Andhra Pradesh Alipiri Rd, Sri Padmavati...","2020-03-22 10:47:32","Sri Venkateswara Institute of Medical Sciences, Tirupati, Andhra Pradesh Alipiri Rd, Sri Padmavati Mahila Visvavidyalayam, Tirupati, Andhra Pradesh 517507","4","13.640438","79.40374","","/index.php/testing-facilities/15-government-laboratories/4-sri-venkateswara-institute-of-medical-sciences-tirupati","Andhra Pradesh","Alipiri Rd, Sri Padmavati Mahila Visvavidyalayam, Tirupati","Sri Venkateswara Institute of Medical Sciences, Tirupati","517507"
"Prime Square building, Gaiwadi Industrial, estate,, 400062 Mumbai, Maharashtra, India","16","Mumbai","India","<span class=""section-info-text""><span class=""widget-pane-link"">SRL Diagnostics, Plot No 1, Prime Square building, Gaiwadi Industrial, estate, Next to Patel</span></span>...","2020-03-23 08:04:10","<span class=""section-info-text""><span class=""widget-pane-link"">SRL Diagnostics, Plot No 1, Prime Square building, Gaiwadi Industrial, estate, Next to Patel Petrol Pump, Opposite Mahesh Nagar, S.V. Road, Goregaon West, Mumbai, Maharashtra 400062</span></span>","116","19.171404","72.843422","","/index.php/testing-facilities/16-private-laboratories/116-srl-diagnostics-goregaon-west","Maharashtra","Prime Square building, Gaiwadi Industrial, estate,","SRL Diagnostics, Goregaon West","400062"
"GP 26 Sector 18,, 122015  gurgaon, Haryana, India","16"," gurgaon","India","SRL Limited, GP 26 Sector 18, gurgaon, Haryana, India Pin 122015","2020-03-23 09:30:32","SRL Limited, GP 26 Sector 18, gurgaon, Haryana, India Pin 122015","127","28.489103","77.059502","","/index.php/testing-facilities/16-private-laboratories/127-srl-limited","Haryana","GP 26 Sector 18,","SRL Limited","122015"
"No. 1, Old Jail Rd, Old Washermanpet, 600001 Chennai, Tamil Nadu, India","18","Chennai","India","No. 1, Old Jail Rd, Old Washermanpet, Chennai, Tamil Nadu 600001","2020-03-30 06:09:43","No. 1, Old Jail Rd, Old Washermanpet, Chennai, Tamil Nadu 600001","199","13.106272","80.286674","","/index.php/testing-facilities/18-government-laboratories-not-supported-by-icmr/199-stanley-medical-college-chennai","Tamil Nadu","No. 1, Old Jail Rd, Old Washermanpet","Stanley Medical College, Chennai","600001"
"Red Cross Road, Near, General Hospital Rd, Rishimangalam, Pattoor, , 695024 Thiruvananthapuram, , Kerala , India","15","Thiruvananthapuram, ","India","Red Cross Road, Near, General Hospital Rd, Rishimangalam, Pattoor, Thiruvananthapuram, Kerala 695024","2020-03-24 14:06:26","Red Cross Road, Near, General Hospital Rd, Rishimangalam, Pattoor, Thiruvananthapuram, Kerala 695024","159","8.498161","76.939453","","/index.php/testing-facilities/15-government-laboratories/159-state-public-health-laboratory-trivandrum","Kerala ","Red Cross Road, Near, General Hospital Rd, Rishimangalam, Pattoor, ","State Public Health Laboratory, Trivandrum","695024"
" A-17, Info Technology Park, Sector 34,, 122001 Gurugram, Haryana, India","16","Gurugram","India","Strand Life Sciences, <span class=""section-info-text""><span class=""widget-pane-link"">A-17, Info Technology Park, Sector 34, Gurugram, Haryana 122001</span></span>","2020-03-23 08:22:15","Strand Life Sciences, <span class=""section-info-text""><span class=""widget-pane-link"">A-17, Info Technology Park, Sector 34, Gurugram, Haryana 122001</span></span>","119","28.426413","77.019768","","/index.php/testing-facilities/16-private-laboratories/119-strand-life-sciences-gurugram","Haryana"," A-17, Info Technology Park, Sector 34,","Strand Life Sciences, Gurugram","122001"
"2nd Floor Aston, Shastri Nagar, 400053  Andheri (W), Mumbai, Maharashtra, India","16"," Andheri (W), Mumbai","India","2nd Floor Aston, Shastri Nagar, Andheri (W), Mumbai, Maharashtra, India  400053","2020-03-23 07:50:03","2nd Floor Aston, Shastri Nagar, Andheri (W), Mumbai, Maharashtra, India  400053","112","19.137468","72.823578","","/index.php/testing-facilities/16-private-laboratories/112-suburban-diagnostics-india-pvt-ltd","Maharashtra","2nd Floor Aston, Shastri Nagar","SUBURBAN DIAGNOSTICS (INDIA) PVT. LTD","400053"
"Kedar Builiding, Opp. Krupa petrol Pump, 380006 Ahmedabad, Gujarat, India","16","Ahmedabad","India","Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Neuberg Supratech, Ground Floor,...","2020-03-23 12:28:19","Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Neuberg Supratech, Ground Floor, Kedar Builiding, Opp. Krupa petrol Pump Parimal garden, Gujarat 380006","144","23.019835","72.557091","","/index.php/testing-facilities/16-private-laboratories/144-supratech-micropath-laboratory-research-institute-pvt-ltd-ahmedabad","Gujarat","Kedar Builiding, Opp. Krupa petrol Pump","Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Ahmedabad","380006"
"Dr Ernest Borges Road, Parel, 400012 Mumbai, Maharashtra, India","16","Mumbai","India","Dept. of Microbiology & Serology, 6th Floor, Anexe Building, Tata Memorial Hospital, Dr. E. Borges...","2020-03-28 07:35:54","Dept. of Microbiology & Serology, 6th Floor, Anexe Building, Tata Memorial Hospital, Dr. E. Borges Road, Parel, Mumbai 400012","190","19.004614","72.843033","","/index.php/testing-facilities/16-private-laboratories/190-tata-memorial-centre-diagnostic-services-tata-memorial-hospital-mumbai","Maharashtra","Dr Ernest Borges Road, Parel","Tata Memorial Centre Diagnostic Services, Tata Memorial Hospital, Mumbai","400012"
"9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, 500003 Secunderabad, Telangana, ","16","Secunderabad","","9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, Secunderabad, Telangana 500003","2020-03-31 07:45:51","9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, Secunderabad, Telangana 500003","214","17.442057","78.497147","","/index.php/testing-facilities/16-private-laboratories/214-the-department-of-laboratory-medicine-yashoda-hospital","Telangana","9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road","The Department of Laboratory Medicine, Yashoda Hospital","500003"
"D-37/1 MIDC Turbhe, 400703 Navi Mumbai, Maharashtra, India","16","Navi Mumbai","India","Thyrocare Technologies Limited, D-37/1 MIDC Turbhe Opp Sandoz, MIDC Industrial Area, Sanpada, Navi...","2020-03-23 07:37:15","Thyrocare Technologies Limited, D-37/1 MIDC Turbhe Opp Sandoz, MIDC Industrial Area, Sanpada, Navi Mumbai, Maharashtra 400703","110","19.067995","73.003891","","/index.php/testing-facilities/16-private-laboratories/110-thyrocare-technologies-limited","Maharashtra","D-37/1 MIDC Turbhe","Thyrocare Technologies Limited","400703"
"Old Assembly Complex, 791110 Naharlagun, Arunachal Pradesh , India","17","Naharlagun","India","Old Assembly Complex, Naharlagun, Papumpare District, Arunachal Pradesh 791110","2020-03-30 07:15:53","Old Assembly Complex, Naharlagun, Papumpare District, Arunachal Pradesh 791110","207","27.103872","93.691101","","/index.php/testing-facilities/17-collection-sites/207-tomo-riba-institute-health-and-medical-sciences-trihms-naharlagun","Arunachal Pradesh ","Old Assembly Complex","Tomo Riba Institute Health and Medical Sciences (TRIHMS), Naharlagun","791110"
"102, 1st Floor, Sanoma Plaza, Sheth Mangald Road, 380006 Ahmedabad, Gujarat, India","16","Ahmedabad","India","Unipath Speciality Laboratory Limited,, <span class=""section-info-text""><span class=""widget-pane-link"">102, 1st Floor, Sanoma Plaza, Sheth Mangald Road, Opp.</span></span>...","2020-03-23 07:56:43","Unipath Speciality Laboratory Limited,, <span class=""section-info-text""><span class=""widget-pane-link"">102, 1st Floor, Sanoma Plaza, Sheth Mangald Road, Opp. Parimal Garden, Ellisbridge, Ahmedabad, Gujarat 380006</span></span>","114","22.113466","71.736961","","/index.php/testing-facilities/16-private-laboratories/114-unipath-speciality-laboratory-limited-ahmedabad","Gujarat","102, 1st Floor, Sanoma Plaza, Sheth Mangald Road","Unipath Speciality Laboratory Limited, Ahmedabad","380006"
"Off, Kurawali - Mainpuri - Etawah Rd,  206130 Saifai, Uttar Pradesh, India","15","Saifai","India","Off, Kurawali - Mainpuri - Etawah Rd, Saifai, Uttar Pradesh 206130","2020-03-22 20:43:33","Off, Kurawali - Mainpuri - Etawah Rd, Saifai, Uttar Pradesh 206130","38","26.960838","78.958397","","/index.php/testing-facilities/15-government-laboratories/38-uttar-pradesh-university-of-medical-sciences-saifai-etawah","Uttar Pradesh","Off, Kurawali - Mainpuri - Etawah Rd","Uttar Pradesh University of Medical Sciences, Saifai, Etawah"," 206130"
"Opp. District Court, 413003 Solapur, Maharashtra, India","15","Solapur","India","Opp. District Court, Solapur, Maharashtra 413003, India","2020-03-28 11:22:06","Opp. District Court, Solapur, Maharashtra 413003, India","193","17.665312","75.909637","","/index.php/testing-facilities/15-government-laboratories/193-v-m-govt-medical-college-solapur","Maharashtra","Opp. District Court","V. M. Govt. Medical College, Solapur.","413003"
"3-6-16 & 17, Street No.19, 500029 Hyderabad, Telangana, India","16","Hyderabad","India","Vijaya Diagnostic Centre Pvt. Ltd, 3-6-16 & 17, Street No.19, opp. Lane to Tanishq, Chandra Nagar,...","2020-03-24 06:22:48","Vijaya Diagnostic Centre Pvt. Ltd, 3-6-16 & 17, Street No.19, opp. Lane to Tanishq, Chandra Nagar, Himayatnagar, Hyderabad, Telangana 500029","148","17.404165","78.477684","","/index.php/testing-facilities/16-private-laboratories/148-vijaya-diagnostic-centre-pvt-ltd-hyderabad","Telangana","3-6-16 & 17, Street No.19","Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad","500029"
" Plot No. 142, Phase 2, IDA Cherlapally, 500051 Hyderabad, Telangana, India","16","Hyderabad","India","Vimta Labs Ltd., Plot No. 142, Phase 2, IDA Cherlapally, Hyderabad, Telangana, India 500051","2020-03-24 06:26:18","Vimta Labs Ltd., Plot No. 142, Phase 2, IDA Cherlapally, Hyderabad, Telangana, India 500051","149","17.470873","78.600082","","/index.php/testing-facilities/16-private-laboratories/149-vimta-labs-ltd-hyderabad","Telangana"," Plot No. 142, Phase 2, IDA Cherlapally","Vimta Labs Ltd., Hyderabad,","500051"
